name,org_name,starts_on,ends_on,location,categories,theme,description
Mini-Talk by Dr. Scott Legge: What Happens When a Monkey Falls Out of a Tree?,Furman University Anthropology Club,2024-02-15T22:30:00+00:00,2024-02-15T23:00:00+00:00,Furman Hall 229,Academic,ThoughtfulLearning,Dr. Scott Legge will give a talk following the events of Anthropology Day concerning the effect of gravity upon large and medium-bodied African Primates. This talk will be held in Furman Hall 229.
Board Games with Alpha Phi Omega,Alpha Phi Omega,2024-02-15T21:00:00+00:00,2024-02-15T22:00:00+00:00,Furman Hall 106,,Social,Come play board games with the members of Alpha Phi Omega.
RUF Community Groups,Reformed University Fellowship,2024-02-15T00:00:00+00:00,2024-02-15T01:00:00+00:00,North Village,Religious,Spirituality,"This semester, we will have two community groups (one on Tuesday nights at 7, and one on Wednesday nights at 7). Community groups are smaller groups that eat dinner together and talk about aspects of Christianity while encouraging fellowship between one another. Attendees will bring their own dinner to the event."
Valentines Day Wildflowers Event,Native American and Indigenous Peoples Association,2024-02-14T17:00:00+00:00,2024-02-14T18:00:00+00:00,Trone Patio,Diversity and Inclusion ; Special Interest,Arts,Make wildflower bouquets for your valentine and learn the significance of the sunflower to indigenous tribes.
Galentines,Alpha Delta Pi,2024-02-14T01:00:00+00:00,2024-02-14T03:00:00+00:00,Thomas Room,,Social,Making Flower Bouquets for Friends!
Soldering Workshop,Furman University Engineering Club,2023-11-30T00:00:00+00:00,2023-11-30T01:00:00+00:00,Plyler 208/210,Academic,ThoughtfulLearning,Join Furman's Engineering Club on the 29th to learn how to solder together circuits and make a little light up bug!
Burgers To Beat Cancer,"Sigma Chi, Iota Nu Chapter",2023-11-28T16:15:00+00:00,2023-11-28T18:30:00+00:00,Furman University,Greek Life Event,Fundraising,We will be grilling and selling burgers to raise money for the Huntsman Cancer Institute.
Pie a Pi Kapp,Pi Kappa Phi - Delta Chapter,2023-11-27T16:00:00+00:00,2023-11-27T20:00:00+00:00,Trone Upper Patio,Greek Life Event,Fundraising,Brothers of Pi Kappa Phi will accept donations in order for their friend's and peers to pie them in the face with whipped cream.
CCM Weekly Fellowship,Catholic Campus Ministry,2023-11-23T00:00:00+00:00,2023-11-23T01:30:00+00:00,Garden Room,Religious,Social,"Join us every Wednesday @ 7:00pm for food, scripture, presentations, and discussion!"
Transgender Day of Remembrance - Candlelight Vigil,Furman Pride Alliance,2023-11-20T22:30:00+00:00,2023-11-20T23:00:00+00:00,Joseph Vaughn Plaza,Diversity and Inclusion ,Cultural,Candlelight Vigil to honor members of the Trans community who have been killed by violence this year.
Furman Fish and Fly club Fishing at Mills River,Furman University Fish and Fly Club,2023-11-19T13:00:00+00:00,2023-11-19T19:00:00+00:00,Mills River NC,,Social,We will driving to the North Mills River in Mills River NC this Sunday Nov 19th and be fly fishing in the river to catch trout and other fish. We will leave campus around 8:00 AM and get back to campus around 2:00 PM We will be using our club's gear so that every participant will be able to fish if they want to.
Burnout Music Festival,Student Government Association,2023-11-18T21:00:00+00:00,2023-11-19T00:00:00+00:00,Lakeside Amphitheater,,Arts,"The first annual Burnout Music Festival is a glorious cumulation of three rock bands on campus. Complete with the Daily Havoc, the Balconies, the Lucky Sevens, and food trucks, how can you miss out?? ~~~ Lineup: The Lucky Sevens: 4:00-4:30pm The Balconies: 4:45-5:45pm The Daily Havoc: 6:00-7:00pm ~~~ This event, including the food, is open and free to the public. Join us and enjoy the some of the best rock music that Furman University has to offer!"
Semi Formal,Alpha Delta Pi,2023-11-18T00:30:00+00:00,2023-11-18T03:30:00+00:00,Zen,Greek Life Event,Social,Alpha Delta Pi will host a semiformal in November for the chapter and their dates.
Hymn Sing and Bonfire,Reformed University Fellowship,2023-11-18T00:00:00+00:00,2023-11-18T02:00:00+00:00,Vista House,Religious,Spirituality,Join us for a night of singing Psalm hymns and making bonfire snacks. A night of fellowship and praise.
Football with the Brothers,Interfraternity Council,2023-11-17T01:00:00+00:00,2023-11-17T03:00:00+00:00,Trone Student Center,Greek Life Event,Social,"Come hang out in the trone atrium, eat some pizza and watch football while getting to know the men of our fraternities."
Rise Against Hunger,Heller Service Corps,2023-09-27T23:00:00+00:00,2023-09-28T01:00:00+00:00,Timmons Arena,Community Service,CommunityService,"Come package meals for those in need with Heller, Athletics, and FCA at Timmons Arena at 7pm on Wednesday, September 27th."
CCM Weekly Fellowship,Catholic Campus Ministry,2023-09-27T23:00:00+00:00,2023-09-28T00:30:00+00:00,Garden Room,Religious,Social,"Join us every Wednesday @ 7:00pm for food, scripture, presentations, and discussion!"
"""What is Socialism?"" Political Education Event",Furman Young Democratic Socialists of America,2023-09-27T22:00:00+00:00,2023-09-27T23:00:00+00:00,Johns Hall 101,Political,ThoughtfulLearning,"Join the Furman Young Democratic Socialists of America for a discussion about socialism, what it is, why it matters, and how Furman YDSA incorporates its principles into our work. This meeting is for everyone, regardless of your level of familiarity with the ideas being discussed. Come as you are!"
FUSEA x Alex's Lemonade Stand,Furman University Student Entrepreneurship Association,2023-09-27T15:30:00+00:00,2023-09-27T16:30:00+00:00,Joseph Vaughn Plaza,Community Service,Social,"Quench your thirst for entrepreneurship with FUSEA and Alex's Lemonade! Come support FUSEA as we sell lemonade to raise money for Alex's Lemonade, a charity for childhood cancer research. It is a pay-what-you-can event so you can pay $0.5 for a glass of lemonade or $20. All proceeds go to Alex's Lemonade!"
Chi Omega Wish Week Tabling,Chi Omega,2023-09-26T15:30:00+00:00,2023-09-26T17:30:00+00:00,James B. Duke Library,Greek Life Event,Fundraising,Stop by the Chi O table outside the library and enter your name in the raffle! We have some fun and exciting prizes!
CLP Catholic Mass,Catholic Campus Ministry,2023-09-25T01:00:00+00:00,2023-09-25T02:00:00+00:00,Daniel Chapel Furman University,,Spirituality,"The Roman Catholic Mass Celebration is a religious liturgy whose origins date back to the first century. The mass is celebrated in each country of the world every day amongst people of various cultures, backgrounds, languages, and traditions. Given this ancient liturgy’s ties to culture and history, it is a great learning opportunity for students to witness as it has been a pivotal ceremony for the world as a whole. The mass is divided into two sections: Liturgy of the Word and Liturgy of the Eucharist. Students attending the mass will hear various pieces of literature from the BC Jewish Era, writings from the Gospels detailing Jesus’s life, and readings from the early church fathers. After the conclusion of the mass, students will have the opportunity to ask questions."
League Game Against Georgia Tech,Furman Men's Club Soccer,2023-09-24T17:00:00+00:00,2023-09-24T19:00:00+00:00,North Village Upper Field,Student Organization Athletic Event,Athletics,The Furman University Men's Club Soccer team will play Georgia Tech for their second home league game.
Game: Furman Vs. Coastal,Furman Women's Club Soccer,2023-09-23T17:00:00+00:00,2023-09-23T18:30:00+00:00,Furman University,Varsity Athletic Event,Athletics,Saturday Sept. 23rd Furman vs. Coastal @1:00 pm home
Fall Ball,Furman University Student Activities Board,2023-09-22T23:00:00+00:00,2023-09-23T02:00:00+00:00,"Southwind Ranch, Travelers Rest",,Social,"An event inclusive of our entire community that brings out people from all sides of campus, Fall Ball this year will be a barn dance! Picture a beautiful barn or rustic event venue with fall in the air. Guests will get to experience a fun evening of music and barbeque, with a cash bar for those old enough to partake. Aimed at being a fun Friday night for all of campus, fall ball will yippee chi slay."
Game: USC Vs. Furman,Furman Women's Club Soccer,2023-09-22T22:00:00+00:00,2023-09-22T23:30:00+00:00,University of South Carolina,Varsity Athletic Event,Athletics,Friday Sept. 22nd USC vs. Furman @ 6:00 pm away
Career Trek Information Session,Malone Center for Career Engagement,2023-03-22T16:30:00+00:00,2023-03-22T17:30:00+00:00,Furman Hall 108,,ThoughtfulLearning,Come learn about the Career Trek to Washington D.C.
Accommodations in the Workplace,Malone Center for Career Engagement,2023-03-17T16:30:00+00:00,2023-03-17T17:30:00+00:00,Online,,ThoughtfulLearning,Come learn about Accommodations in the Workplace
Career Trek Information Session,Malone Center for Career Engagement,2023-03-14T20:00:00+00:00,2023-03-14T21:00:00+00:00,Hipp Hall 202,,ThoughtfulLearning,Learn about our upcoming Career Trek to Washington D.C.
Mindful Eating,PalaMind,2023-03-01T22:30:00+00:00,2023-03-01T23:30:00+00:00,Hartness Pavilion,Special Interest,ThoughtfulLearning,A mindful meal led by Dr. Min-Ken Liao and Dr. Meghan Slining
"Communications, Marketing, & Design Employer Connections",Malone Center for Career Engagement,2023-02-26T23:00:00+00:00,2023-02-27T00:00:00+00:00,Furman 101,,ThoughtfulLearning,"Come connect and network with employers looking for students interested in Communications, Marketing, and Design."
Mardi Gras,Furman University Student Activities Board,2023-02-21T22:00:00+00:00,2023-02-22T01:00:00+00:00,Behind Daniel Dining Hall,,Social,"In collaboration with the Dining Hall, FUSAB’s Mardi Gras will be a celebration of Louisiana culture and traditions. Students will be able to enjoy delicious Mardi Gras food inside the Dining Hall, and then venture outside for festivities and music from a Louisiana-style jazz band. There will be DIY mask stations with rhinestones, glitter, and feathers for students to decorate while they eat and listen to the music. Additionally, there will be a huge king cake, and the student that obtains the baby in the cake will receive a massive prize. Students will not only have fun enjoying food, music, and crafts, but they will leave with more knowledge of Louisiana culture."
Navigating the Job Search for International Students,Malone Center for Career Engagement,2023-02-20T22:30:00+00:00,2023-02-21T00:30:00+00:00,Watkins North,,ThoughtfulLearning,"Hear from a panel of successful International Alumni with jobs in the U.S., as well as local employers who hire international students! Networking reception to follow."
Dirt Church at Dupont State Forest,Furman University Outdoor Club,2023-02-19T13:30:00+00:00,2023-02-19T19:00:00+00:00,Dupont State Forest,,Athletics,"Mtn bike ride at Dupont State Forest - all levels welcome, but mtn bikes and helmets are required. Bring water and a trail snack. We will be meeting in the North Chapel lot at Furman at 8:30am and then grabbing lunch after the ride. We should return to campus about 2pm. If you have any questions or want to RSVP, please email Dr. Simmons at aaron.simmons@furman.edu"
Caving at Worley's Cave,Furman University Outdoor Club,2023-02-18T18:00:00+00:00,2023-02-18T22:00:00+00:00,"Worley's Cave, Bluff City, TN",Social Programmatic,Social,"Join FUOC for a day of caving at Worley's Cave in Bluff City, Tennessee. Worley's is a beautiful natural cave with living features and formations. Out guide will help us learn a bit about the life and geology of an undeveloped limestone cave. Worley’s Cave requires no prior caving experience. There are some mandatory tight passages with prolonged crawling. We provide all of the gear and an experienced guide. **RSVP through the Google Form on the weekly FUOC email**"
Furman Club lax versus Elon,Furman Men's Club Lacrosse,2023-02-18T18:00:00+00:00,2023-02-18T19:00:00+00:00,North Village Field,,Athletics,Furman men's club lacrosse team will take on Elon's club lacrosse team and destroy them
FPA Disco Dance!,Furman Pride Alliance,2022-10-21T23:00:00+00:00,2022-10-22T01:30:00+00:00,Watkins Room,Diversity and Inclusion ,Cultural,"Join the Furman Pride Alliance in our celebration of LGBTQIA History Month with music, dancing, and snacks! Dress code is whatever makes you feel like your snazziest self!"
Improv October Show,Improv!able Cause Improvisational Comedy Troupe,2022-10-22T00:00:00+00:00,2022-10-22T01:00:00+00:00,Burgiss Theater,,Arts,10/22/22 Improv Show!
Furman Esports Club Meeting,Furman ESports Club,2022-10-21T23:00:00+00:00,2022-10-22T00:30:00+00:00,RLY 204,Special Interest,Social,Regular club meeting; join our discord server for more information: https://discord.gg/FswFA7yrbv
FCA Dodgeball Tournament,Fellowship of Christian Athletes,2022-10-21T20:30:00+00:00,2022-10-21T22:30:00+00:00,PAC,,Social,FCA is hosting a dodgeball tournament in the PAC. Grab a team and cannot wait to see you there!
Equali-tea CIC Drop In,Center for Inclusive Communities,2022-10-21T16:00:00+00:00,2022-10-21T18:00:00+00:00,CIC Office - Trone 205,Diversity and Inclusion ,Cultural,"Celebrate LGBTQIA+ History Month by dropping by the CIC on Friday, October 21 from 12pm-2pm. We will have a variety of teas along with free bagels from Sully's Steamers!"
Institute of Religion and Organization Meeting,Latter-Day Saint Student Association,2022-10-19T23:00:00+00:00,2022-10-20T00:00:00+00:00,TBD,Religious,Spirituality,"Meet with fellow Furman students to participate in a virtual institute of religion class. The course for Fall 2022 is ""The Living Christ"" We meet every Tuesday of the semester at 7 p.m. Location varies contact Saveyah Smith smitsa9@furman.edu for location"
Asheville ATV Tour,Furman University Student Activities Board,2022-10-16T14:00:00+00:00,2022-10-16T19:00:00+00:00,"Asheville, North Carolina",,Social,This off-campus event will allow a small group of students to be transported to the mountains outside of Asheville for a private ATV tour led by an experienced guide who is familiar with the area and its history. Students will be able to drive ATVs with the guidance of a liscenced guide from an accredited ATV tour company where they will be able to experience beautiful mountain and forest views in an experience they might never have the chance to pursue again.
ProjectROCK,Furman University Outdoor Club,2022-10-15T18:00:00+00:00,2022-10-15T21:00:00+00:00,ProjectROCK Easley,,Social,"Get climbing on some of tallest indoor walls in the US! Officers Moultrie and Andrew will be leading a trip to this new, state-of-the-art climbing facility on October 15th so don't miss out! Learn some useful climbing techniques while scaling the hand-sculpted 85 foot walls modeled after real mountains from around the world. All skill levels welcome, so don't be afraid to sign up!"
"Crystal Mining at Diamond Hill Mine, SC",Furman University Outdoor Club,2022-10-15T13:00:00+00:00,2022-10-15T21:00:00+00:00,Diamond Hill Mine,,Social,"Join us for a day trip to dig your own quartz crystals & keep everything you find! Gloves and tools are provided by FUOC, and carpool will be arranged at the Rabbit Hole before we leave in the morning! Meet at the RH at 9am on Saturday, Oct. 15th! FUOC will pay for the first 15 people to RSVP! Everyone else will need to bring $20 cash to be able to dig for the day! Event caps at 25 people so sign up fast and tell your friends! Email officers Isabelle or Tyler with questions! (isabelle.jarvis@furman.edu, tewety5@furman.edu)"
Planting Trees with Trees Upstate,Furman University Outdoor Club,2022-10-15T13:00:00+00:00,2022-10-15T16:00:00+00:00,"Greer, SC",Community Service,CommunityService,"We are joining with the local nonprofit TreesUpstate to plant trees in the Creekside Community of Greer, SC! We will be working in the common areas of the neighborhood, as well as assisting residents who need help planting on their private property. Gloves and shovels, as well as breakfast and lunch, will be provided to volunteers. We're planting over 50 trees! Fill out this form to participate! https://forms.gle/MfqPHKUTs1y7c1pj8 https://forms.gle/MfqPHKUTs1y7c1pj8"
Asheville Foodie Day Trip,Furman University Student Activities Board,2022-03-26T16:00:00+00:00,2022-03-26T17:00:00+00:00,"Asheville, North Carolina",,Social,"This trip allows participating students the opportunity to travel to Ashveille and have a unique experience where they tour a working chocolate factory, have time to explore the many restaurants and around Asheville in their free time, and have an all expenses paid dinner where they get to experience another culture through activities like bellydancing and live music. This trip offers students who are passionate about food the opportunity to travel to one of the foremost “foodie” cities in the south and experience food in ways that they may never have the chance to again."
Education Opportunities Job Fair,Malone Center for Career Engagement,2022-03-25T12:30:00+00:00,2022-03-25T21:00:00+00:00,"Atlanta, Georgia, United States",,ThoughtfulLearning,"We will be hosting a K-12 Teacher Job Fair in Atlanta on February 5th 2022 for active Southern Teachers candidates and our member schools. Want to interview directly with hiring officials at private schools? Apply to Southern Teachers before December 1, 2021 to be eligible to attend. All active Southern Teachers candidates are eligible to participate in this virtual fair. This event is free for all active Southern Teachers candidates, as all are services are always free to candidates. What qualifications do you need to be a teacher candidate? • Bachelor’s Degree, Master’s Degree, or Doctorate Degree • Teacher Certification required if teaching Elementary grades • For secondary school positions, certification is a plus, but not mandatory • Passion for working with kids and sharing your love for athletics or extracurricular activities Attending our job fair is a powerful way to explore teaching opportunities for the 2022-23 school year. Please feel free to message us via Handshake with any questions. **Entry to the event will require proof of vaccination, along with valid photo ID.**"
Art Alumni Panel,Malone Center for Career Engagement,2022-03-24T21:30:00+00:00,2022-03-24T22:30:00+00:00,Little John Lecture Room - Roe Art Building,,Arts,TBD
Entry-Level Research Alumni Panel,Malone Center for Career Engagement,2022-03-23T23:00:00+00:00,2022-03-24T00:00:00+00:00,Online,,ThoughtfulLearning,"Attend this event to learn from recent graduates working in the research industry. Panelists will discuss the job search, their current roles, and advice they have for students interested gaining experience in research as a career or as a gap year before graduate school. Calleigh Brignull '21, Biology: Clinical Research Assistant at The Hawkins Foundation Jessica Culbreth '20, Psychology: Research Assistant at University of Washington Peyton Roth '19, Chemistry & Political Science: Research Associate, Poverty Studies at American Enterprise Institute 4th panelist TBA!"
Sugar Mountain Ski Trip,Furman University Outdoor Club,2022-03-20T10:30:00+00:00,2022-03-20T20:30:00+00:00,Sugar Mountain,,Social,"We will be skiing at Sugar Mountain in North Carolina. FUOC will pay for your lift passes. You will need to rent your own gear, but we can help you coordinate rides there."
ENG 399: Adulting On the Job and Off,Malone Center for Career Engagement,2022-03-19T14:00:00+00:00,2022-03-19T16:00:00+00:00,"Daniel Chapel, Garden Room",,Social,"Two young (and well-dressed) Greenville professionals, Andrew Huang (Brains on Fire) and Caroline Mayberry (Biologos) will explain some guidelines to being confident and professional in how you look and sound in your post-college. Dr. Oakes (who has moved 23 times in her life, once from California to England) will discuss tips on moving to and making a home and friends in a new place after college."
Resume Accelerator with Austin Belcak,Malone Center for Career Engagement,2022-03-17T22:00:00+00:00,2022-03-18T02:00:00+00:00,On Campus - Register for more details (spots limited!),Special Interest,GroupBusiness,"Join The Hill Institute for Innovation and Entrepreneurship and the Malone Center for Career Engagement as we bring in the founder of Cultivated Culture and career expert, Austin Belcak, to accelerate your resume and LinkedIn (where he happens to have 1.2million followers). A former Director of Partner Development at Microsoft, Austin now works to teach people how to land amazing jobs without applying online. His strategies have been featured in Forbes, Business Insider, Inc., Fast Company, and more. His students have landed interviews and offers at Google, Microsoft, Amazon, Apple, Facebook, Twitter, Uber, Deloitte, Accenture, ESPN and more. This workshop will: - provide you with a revamped LinkedIn presence - teach you valuable lessons on how to pursue the right career - equip you with the skills to land your dream job in only a few months First 50 students to register will receive $25 for participating. You don't want to miss this!"
Summer Seasonal Jobs - Virtual Career Fair,Malone Center for Career Engagement,2022-03-17T18:00:00+00:00,2022-03-17T22:00:00+00:00,Online,Special Interest,GroupBusiness,"Don't know what to do this summer? Now is the time to look for summer jobs. We've got a ton (almost 50 and quickly growing) of awesome camps and seasonal employers attending our career fair March 17! You seriously don't want to miss this. ⁠ ⁠ ⏰ March 17, 2-6pm, Online⁠ Build your event schedule around your availability and the employers that you want to meet with! (Register and signup for sessions here) ⁠ Getting a summer job sets you up for success in fun ways and adds great experience to your resume for future employment upon graduating. ⁠ ⁠ Participate in the summer job career fair hosted by the Malone Center for Career Engagement. Connect with employers you are interested in with 10 minute 1:1 sessions or 30 minute group sessions. ⁠ You must pre-register and signup for sessions to attend.⁠ ⁠ Tell your friends!⁠"
Student Athlete Alumni Career Panel,Malone Center for Career Engagement,2022-03-16T23:00:00+00:00,2022-03-17T00:00:00+00:00,Online,,Athletics,"Join former Furman student-athletes Kena Hodges (W. Basketball '01), Adi Filipovic (Football '07), James Perez (XC/Track '15) and Rachel Sindler (W. Lacrosse '21) as they discuss how to optimize time at Furman as a student athlete, market the athletic experience in a job search and career, and the transition out of sports and into the professional life. Kena Hodges serves as a transformation coach and leadership consultant with over 16 years of human resources experience. Adi Filipovic is the co-founder and managing director of Resurgens Technology Partners. James Perez works as a product owner with Duke Energy and is the co-founder of Stoke Performance. Rachel Sindler brings experience as an Investment Banking Analyst at Bank of America."
DIY Air Plant Terrariums,Furman University Student Activities Board,2022-03-16T15:00:00+00:00,2022-03-16T18:00:00+00:00,Duke Library Steps,,Social,"This event gives 150-200 students a chance to decorate and create their own air plant terrarium for their room or dorm! There will be stations set up with all the supplies needed to make the terrarium as cool and personalized as can be! There will be a myriad of decor and objects that students can include inside their terrariums. Plants are scientifically proven to purify the air, increase concentration and productivity, and relieve stress and anxiety: things any student will appreciate."
Greek Groove,Panhellenic Council,2021-11-17T00:00:00+00:00,2021-11-17T02:00:00+00:00,McAlister,Greek Life Event,Fundraising,Greek sororities and fraternities will have a dance competition for charity on Tuesday Nov 16 at 7:00-9:00. All are welcome and encouraged to come out and support.
Kickball Kickoff for Greek Week,Panhellenic Council,2021-11-16T00:00:00+00:00,2021-11-16T01:00:00+00:00,North Village Field 1,Greek Life Event,Athletics,Fraternities and sororities will get up to the plate to kick off the infamous Greek Week. They will compete in a classic round robin of kickball at the north village fields at 7:00 on Monday Nov 15!
CLP Mass,Catholic Campus Ministry,2021-11-15T02:00:00+00:00,2021-11-15T03:00:00+00:00,Daniel Chapel,Religious,Spirituality,Join the Catholic Campus Ministries for a CLP mass to learn more about Catholicism and the celebration of the mass.
Delta Gamma Tailgate,"Delta Gamma, Zeta Upsilon Chapter",2021-11-13T16:00:00+00:00,2021-11-13T21:00:00+00:00,Champions Grove,Greek Life Event,Social,"We will be having our first tailgate back, woohoo! There will be pre-packed food and waters/juice boxes provided with games and other decorations."
Science & Health - Virtual Career Fair,Malone Center for Career Engagement,2021-11-11T19:00:00+00:00,2021-11-11T23:00:00+00:00,Online,,ThoughtfulLearning,Furman Virtual Fairs provides students with the opportunity to connect virtually with employers regarding career opportunities. Students can register to attend 30-minute small group sessions to learn more about the organization or schedule 1:1 10-minute meetings with employers. Employers will be able to see student profiles and public resumes in Handshake; make sure you update your Handshake profile and upload a current version of your resume.
Wesley Fellowship Gathering,Furman Wesley Fellowship,2021-11-10T00:45:00+00:00,2021-11-10T02:15:00+00:00,Garden Room of Chapel,Religious,Spirituality,"Join us for a night of worship and fellowship. The Gathering is in the Garden Room of the Chapel at 7:45pm. We will connect with old friends and make new ones, share Joys & Concerns, and then Edward [our campus minister] will offer a short devotional. Of course, all safety protocols will be followed ... so bring your mask!"
ADPI x ΣX Fashion Show,"Sigma Chi, Iota Nu Chapter",2021-11-10T00:00:00+00:00,2021-11-10T02:00:00+00:00,McAlister Auditorium,Greek Life Event,Fundraising,Alpha Delta Pi and Sigma Chi philanthropy fashion show.
Dress Fly with ADPi and Sigma Chi,Alpha Delta Pi,2021-11-10T00:00:00+00:00,2021-11-10T02:00:00+00:00,McAlister Auditorium,,Fundraising,"Alpha Delta Pi and Sigma Chi are hosting a charity fashion show. Come watch members from each chapter models clothes from local Greenville stores. After the show, students have exclusive access to clothes from the stores. All proceeds from tickets and clothing sales will benefit RMHC of the Carolinas and Huntsman Cancer Foundation."
Furman Master of Arts in Teaching Information Session,Malone Center for Career Engagement,2021-11-09T23:00:00+00:00,2021-11-10T00:00:00+00:00,"Watkins North, Trone Student Center",,ThoughtfulLearning,"Interested in making an impact on your community after graduation? Join us for a seminar on Nov 9th at 6:00pm to learn how you can use your degree to transition into a career in education after one-year post-graduation! Furman’s Master of Arts in Teaching is now accepting seniors graduating with a degree in biology, chemistry, physics, math, history, English, Spanish, and French! Furman’s Office of Graduate Studies will be hosting the seminar for undergraduate students to discuss the details of the teacher certification process and degree program and to answer any questions."
Catholic Mass,Catholic Campus Ministry,2021-11-08T02:00:00+00:00,2021-11-08T03:00:00+00:00,Daniel Chapel,Religious,Spirituality,Catholic Mass at 9PM Sunday evenings.
Furman Rugby v App State,Furman University Men's Rugby,2021-09-25T17:00:00+00:00,2021-09-25T18:00:00+00:00,Robert's Rugby Pitch,Student Organization Athletic Event,Athletics,"The #1 D2 Rugby team in the nation, your Furman Dins, is playing Saturday, Sept. 25! Come out and see the team!"
Anime Club Weekly Meeting,Furman University Anime Club,2021-09-24T23:00:00+00:00,2021-09-25T02:00:00+00:00,Johns Hall 101,,Cultural,"Join Anime Club as we have our weekly meetings to discuss and watch anime from different genres! Every week there will be a different theme posted in our GroupMe and then we watch anime related to that theme during our meeting! There will also be a chance for you to receive a plush and comfortable hoodie or a snazzy t-shirt. Please contact Dominique (Domo) Martin [dominique.martin@furman.edu] or Kevin Sanders [kevin.sanders@furman.edu] if you have any questions or concerns. If you are unable to come to in person meetings, have no fear! We are a hybrid organization that has members that are on and off campus! Once you have signed into GroupMe a Zoom link will be provided."
September 2021 Improv Show,Improv!able Cause Improvisational Comedy Troupe,2021-09-25T00:30:00+00:00,2021-09-25T01:30:00+00:00,Burgiss Theater,,Arts,Sep 24 improv show
Furman Band Extravanganza,Furman Bands,2021-09-24T23:30:00+00:00,2021-09-25T00:30:00+00:00,McAlister Auditorium,Special Interest,Arts,"To kick off Family Weekend, the annual Band Extravaganza will be on Friday, September 24th at 7:30 PM! Come to McAlister Auditorium to hear your favorite Paladin Regiment tunes and celebrate with our band family!"
Stop the Hazing Campaign,Alpha Delta Pi,2021-09-24T16:00:00+00:00,2021-09-24T18:00:00+00:00,Joseph Vaughn Plaza,Greek Life Event,ThoughtfulLearning,Members of Alpha Delta Pi will be tabling in honor of the Max Gruver Foundation in a pledge against hazing. Furman students will be encouraged to sign a paper hand as a pledge against hazing and will have the opportunity to learn about hazing myths.
Low Country Boil,Furman University Student Activities Board,2021-09-23T22:00:00+00:00,2021-09-24T00:00:00+00:00,Milford Mall,,Social,"Smell the cajun seasoning, feel the end of summer air, hear the bluegrass music, and see the bonfire crackle, because FUSAB is going to have us a good ole fashioned Low Country Boil. This event will happen the evening of September 16th complete with some swing music, lights, and comfy outdoor seating to enjoy your dinner and hangout. Envision a long table down the mall piled with all the shrimp, sausage, corn, and potatoes you could eat!"
BBB Meeting,Beta Beta Beta Biological Honor Society,2021-09-23T22:30:00+00:00,2021-09-23T23:30:00+00:00,Plyler 231,,GroupBusiness,Beta Beta Beta's monthly meeting to discuss organization activities and updates.
Homecoming Cornhole Tournament,Student Alumni Council,2021-09-23T22:00:00+00:00,2021-09-23T23:30:00+00:00,The Cherrydale House,Social Programmatic,Social,"All organizations planning on participating in all of the spirit week events are required to attend the annual cornhole game on September 23rd at 6:00pm at the Cherrydale house. While we hope all teams will get their top homecoming themes, in the event that there are overlapping interests among groups, the cornhole game will determine which organization gets theme preference. Members of all organizations are encouraged to come and cheer on their teams or enjoy pizza and drinks."
Annual Poster Sale,Office of Student Involvement and Inclusion,2021-09-22T13:00:00+00:00,2021-09-22T21:00:00+00:00,Trone Student Center Front Patio,,Social,Still looking for just the right room décor? Stop by our annual poster sale!
Stop the Hazing Campaign,Alpha Delta Pi,2021-09-22T16:00:00+00:00,2021-09-22T18:00:00+00:00,Joseph Vaughn Plaza,Greek Life Event,ThoughtfulLearning,Members of Alpha Delta Pi will be tabling in honor of the Max Gruver Foundation in a pledge against hazing. Furman students will be encouraged to sign a paper hand as a pledge against hazing and will have the opportunity to learn about hazing myths.
Spring Concert 2021,The Bell Tower Boys,2021-04-15T23:45:00+00:00,2021-04-16T00:15:00+00:00,Hartness Pavilion,Special Interest,Arts,"The Bell Tower Boys will perform a free 30-minute concert for Furman students and employees. This event will be most effective in person because live, in-person performance cannot be replicated virtually. We want to give a special experience to all of our audience members. We plan to use Hartness Pavilion, which has seating for up to 36 people. We have six group members, so we will plan to have an audience of no larger than 30 members. We will require that all entrants show their confirmation of a Life Safe health check at the door. There are marked entrances and exits in Hartness Pavilion. Everyone present will be wearing face coverings and will be spaced out around the room using the already present seating. Restrooms are available to students in the nearby common area upstairs from the Dining Hall. Someone at the door administering the screening will inform participants of the face covering requirements and will keep a guest list. The performing members will stay after the performance to wipe/clean the surfaces in the room after everyone leaves. We will have our advisor Lisa Barksdale or another member of faculty present at the event."
Comedian Adam Grabowski,Furman University Student Activities Board,2021-04-15T22:00:00+00:00,2021-04-15T23:30:00+00:00,E Field,,Social,"Bringing comedians back to Furman with ADAM GRABOWSKI. This would be a neat event similar to Rocky Horror show where we can provide fun and unique entertainment to campus that has not been seen in a while, all with being able to easily socially distance in on E Field. Come join us for this fun and entertaining show!"
Real Estate and Urban Development Career Panel,Malone Center for Career Engagement,2021-04-15T22:00:00+00:00,2021-04-15T23:00:00+00:00,Online,,ThoughtfulLearning,Do you feel drawn to a career in real estate? Do you want to have unlimited growth potential and greater financial independence? Real estate may be for you! Join the Malone Center for Career Engagement as we talk with real estate professionals about careers in this field and how to be successful.
Yoga at the Amphitheater,Panhellenic Council,2021-04-15T22:00:00+00:00,2021-04-15T23:00:00+00:00,Amphitheater,,Fundraising,"This event will be a yoga night, with a Furman student yoga instructor. This particular event is to be a part of Panhellenic and IFC’s philanthropy event of the semester and we will be the sponsors. The nonprofit we are supporting is Mental Health America of Greenville County. We are also using this time to help students destress and find good coping mechanisms for dealing with mental health."
