name,short_name,slug,status,visibility,category_names,description,summary
Ace of Clubs,AoC,aceofclubs,Active,Public,,"The Ace of Clubs brings together a variety of students who enjoy playing games, including board games, card games, word games, strategy games, online games, and more! We are a fun and welcoming environment, and we also have snacks!! We meet every Thursday night from 7-9 PM in Plyler 026.","Board Game club is an opportunity to escape the stresses of school, meet new people, learn new games, and have fun! We play a variety of games each week, from board games to card games to games online! Feel free to bring your games and your friends!"
Acts of Random Kindness Club,A.R.K Club,arkclub,Active,Public,Diversity and Inclusion;Community Service;Special Interest,"The mission of the Acts of Random Kindness Club, or A.R.K Club, is to uplift all students and staff within Furman University, as well as members of our community, through random and intentional acts of kindness. We wish to promote positivity, unity, and compassion in both learning and non-academic environments. We also wish to enhance Furman University‘s social and academic value by encouraging students to live as positive people and motivators, using kindness to change this world! Some of our goals include: - Placing an emphasis on inclusion and unity - Making a difference in the lives of students and faculty - Spreading joy and fun on our campus in creative ways - Focusing on mental health - Advocating for students through acts of kindness and support Join our ARK Club GroupMe for the 2025-26 school year here! Follow us on the ARK Club Instagram page here! Read our story on Furman News here!","The mission of the Acts of Random Kindness Club is to uplift all students and staff within Furman University, as well as members of our community, through random and intentional acts of kindness! Join us as we promote positivity, compassion, and unity!"
Adelphian and Philosophian Debate Society,APDS,adelphian-and-philosophian-debate-society,Active,Public,Academic;Diversity and Inclusion;Fine Arts;Political,The Adelphian and Philosophian Debate Society is a student-led organization dedicated to creating an open space for debate and conversation on campus. In the past we have attended debate competitions and hosted debate competitions for High Schools. Our faculty advisor is Dr. Brandon Inabinet in the Communications department.,The Adelphian and Philosophian Debate Society is a student-led organization dedicated to creating an open space for debate and conversation on campus.
Admission Ambassadors,Admission Ambassadors,admission-ambassadors,Active,Public,Admissions,"Hi Class of 2025! Admissions Ambassadors is a student group operated out of the Office of Admissions to recruit prospective high school students to Furman. Activities include giving walking/riding tours, hosting lunches, sitting on student panels, assisting with virtual recruiting events, and on-campus major visit events. The Office of Admissions will solicit for new applications at the start of the Fall 2021 school semester for current sophomores, juniors, and seniors. Another application and selection round will take place in Spring 2022!","Student organization to recruit prospective high school students to Furman. Activities include giving walking/riding tours, hosting lunches, sitting on student panels, and major visit events."
Afrikiya ,Afrikiya ,afrikiya,Active,Public,Diversity and Inclusion;Student Diversity Council Organizations,"This organization has the purpose to enlighten Furman campus about African history, countries, cities and the realities of being an African or being from the diaspora. This organization will not tolerate racist comments, discrimination, homophobia, xenophobia and portrayal of stereotypes. For the 2024-2025 Academic Year, we will meet biweekly every Thursday from 5:30 pm - 6:15 pm in HIPP HALL 106. For meeting updates and other important information, join our Groupme chat. Or follow our Instagram: afrikiya_fu.",Student Diversity Council Organization
Alpha Delta Pi,ADPi,furmanalphadeltapi,Active,Public,Fraternities and Sororities;Special Interest,"Here you will find a great group of remarkable, intelligent, and committed young women who are dedicated to their sisters and to Alpha Delta Pi. We strive to make a difference in the lives of the people around us, in our community and on our campus through various activities. <> Be the first. Since 1851.","Established in 1851, Alpha Delta Pi is committed to sisterhood, values and ethics, high academic standards and social responsibility. The Eta Phi Chapter of Alpha Delta Pi at Furman University was established on March 19th, 1994."
Alpha Epsilon Delta,AED,alpha-epsilon-delta,Active,Public,Academic;Community Service;Special Interest,"The objectives of Alpha Epsilon Delta are to encourage excellence in pre-health scholarship, to stimulate an appreciation of the importance of pre-health education, and to promote cooperation and contacts between healthcare professionals and pre-health students. We will host a plethora of events & meetings throughout the semester to advance pre-health goals. Some of our events include Mock Interviews, Mentoring Events, MMI Practice, and a Mock MCAT. Additionally, we host a variety of CLPs, Blood Drives, and other community outreach programs. Please feel free to reach out with any questions you may have. !!! Join Our AED GroupMe !!! Furman AED FAQs","The objectives of this society are to encourage excellence in pre-health scholarship, to stimulate an appreciation of the importance of pre-health education, and to promote cooperation and contacts between healthcare professionals and pre-health students"
"Alpha Kappa Alpha Sorority, Incorporated (Rho Zeta Chapter)",AKA,aka1908,Active,Public,Fraternities and Sororities,"Alpha Kappa Alpha Sorority, Inc., Rho Zeta Chapter was established at Furman University on May 1, 1994 and holds the title as the first, and only, historically African-American sorority chartered on the campus. While historically African American, we welcome members from all ethnic and religious backgrounds.","Alpha Kappa Alpha Sorority, Inc., Rho Zeta Chapter was established at Furman University on May 1,1994 and holds the title as the first, and only, historically African-American sorority chartered on the campus."
Alpha Phi Omega,APO,alpha-phi-omega,Active,Public,Fraternities and Sororities;Diversity and Inclusion;Community Service;Special Interest,"Alpha Phi Omega is a co-ed Service Fraternity open to anyone of any race, gender, sexuality, or affiliation to any other groups on campus (including Greek organizations). Founded in 1925, Alpha Phi Omega is the largest collegiate fraternity in the United States, with chapters at over 350 campuses, an active membership of over 25,000 students, and over 500,000 alumni members. This is the Alpha Eta Nu Chapter, which was first chartered on May 3rd, 2014. Focusing on helping others, our organization is founded on service which facilitates the strong fellowship found between our brothers, best exemplified in our motto, ""Be a leader, be a friend, be of service."" Meetings on Wednesdays at 7 pm in Furman 214","Alpha Phi Omega is a national co-ed service fraternity open to any student regardless of gender, race, sexuality, or other group affiliation. APO is founded in the principles of leadership, friendship, and service."
American Chemical Society,ACS,american-chemical-society,Active,Public,Academic,"The American Chemical Society is a congressionally chartered independent-membership organization which represents professionals at all degree levels in all fields of chemistry and the sciences that involve chemistry. Furman's Student Affiliate chapter of ACS has monthly meetings, numerous social events - from picnics to departmental bake-offs, and outreach opportunities in the Greenville community.","Furman's Student Affiliate chapter of the American Chemical Society has monthly meetings, numerous social events - from picnics to departmental bake-offs, and outreach opportunities in the Greenville community."
American Society for Microbiology - Upstate of SC Chapter,ASM,asmupstate,Active,Public,Academic,"ASM's meetings, journals and books explore the complete spectrum of microbiology, and collaborations with our partners strengthen relationships with academic, regulatory and industrial communities.","ASM has over 30,000 members, including researchers, educators and health professionals, ASM is one of the largest life science societies in the world. ASM's meetings, journals and books explore the complete spectrum of microbiology."
Audubon Conservation Chapter,ACC,facc,Active,Public,Academic;Special Interest,Join our GroupMe to get involved and meet your fellow birders! https://web.groupme.com/join_group/89196880/BS4nKAgB,"The FACC is dedicated towards learning about and protecting birds at Furman and the greater Greenville area. Our club involves working with the official Audubon Society, while also promoting fun and engaging on and off campus activities."
Bartram Society,Bartram,bartram-society,Active,Public,Academic;University Department/Office;Special Interest,"The Bartram Society is the social component of the Earth, Environmental, & Sustainability Sciences Department. We are open to SUS and EES majors as well as potential majors and anyone who is interested in our incredible Earth! The Bartram Society goes on annual camping trips in the Fall and Spring semesters and works to build community on campus with people interested in nature.","The Bartram Society is the social component of the Earth, Environmental, & Sustainability Sciences Department. We are open to SUS and EES majors as well as potential majors and anyone who is interested in our incredible Earth!"
Belle Voci,,bellevoci,Active,Public,Fine Arts,,"Belle Voci (Beautiful Voices) is a treble choir that seeks to share music that not only expresses the art of beautiful singing, but hopes that the language of music can be a connection to help find our common humanity."
Best Buddies ,,bestbuddies,Active,Public,Diversity and Inclusion;Community Service,"Best Buddies International is a nonprofit organization dedicated to establishing a global volunteer movement that creates opportunities for one-to-one friendships, leadership development, and inclusive events/activities for individuals with intellectual and developmental disabilities (IDD).","The Furman chapter of Best Buddies International, serving under the Heller Service Corps. We aim to connect Furman students to people with Intellectual/Developmental Disabilities (IDD), through 1 on 1 friendships, on-campus events, and voluneership."
Beta Beta Beta Biological Honor Society,Tri Beta,beta-beta-beta-biological-honor-society,Active,Public,Academic;Community Service,"TriBeta is an organization for students interested in the biological sciences. TriBeta meets once a month, participates in outside activities, provides service opportunities, and helps bring speakers to campus. Service opportunities include educating students from elementary to high school in the biological sciences and fundraising for the American Cancer Society. Full members of the Honor Society receive cords to wear at graduation. Requirements to be a Full member: - at least a 3.0 in biology courses - taken at least 3 courses in biology (this does include AP) - majoring in biology (some exceptions, such as for neuroscience). If any of these do not apply then you are eligible for an Associate membership only and can be upgraded when requirements are fulfilled.","TriBeta is an organization for students interested in the biological sciences. TriBeta meets once a month, participates in outside activities, provides service opportunities, and helps bring speakers to campus."
Beta Theta Pi,Beta Theta Pi,beta-theta-pi,Active,Public,Fraternities and Sororities;Programmatic;Community Service,"Beta Theta Pi is represents a long tradition internationally, dating back to 1839. Furman's Zeta Lambda chapter of Beta Theta Pi believes in the strength of brotherly bonds that can develop in a fraternity. Beta Theta Pi encourages the growth of young men through Intellectual Growth, Mutual Assistance, Trust, Responsible Conduct, Integrity and a lifelong brotherhood.","Furman's Zeta Lambda chapter of Beta Theta Pi distinguishes ourselves apart from other fraternities as Men of Principle, who follow 5 core values: Intellectual Growth, Mutual Assistance, Trust, Responsible Conduct, and Integrity."
C.O.N.E.C.T. Club,,conect,Active,Public,Academic;Special Interest,C.O.N.E.C.T Club (Coalition of New Educators Collaborating on Topics) is for anyone interested in Education. We meet to discuss Education and Educational studies at furman as well as other topics related to Educational fields. We host volunteer opportunities at local elementary schools and charitable drives for Greenville County Schools.,"COALITION OF NEW EDUCATORS COLLABORATING ON TOPICS A NEW CLUB TO DISCUSS RESOURCES, COURSE FEEDBACK, IDEAS, ADVICE, ETC."
Campus Recreation & Wellness,CRW,crw,Active,Public,,Get Connected with Campus Rec.,Get Connected with Campus Rec.
Canterbury of Furman,Canterbury,canterbury-of-furman,Active,Public,Diversity and Inclusion;Religious Council;Special Interest,"The Episcopal Canterbury Fellowship welcomes all students to its meetings. Questions and curiosity are a welcomed part of our meetings as we provide an open-minded environment to seek answers. The Episcopal Church, U.S.A., a part of the global Anglican Communion, serves as the Christian denominational home of the Episcopal Canterbury Fellowship of Furman.","Furman's Episcopal Campus Fellowship! ""We believe that God loves you- no exceptions."""
Catholic Campus Ministry,CCM,catholic-campus-ministry,Active,Public,Religious Council;Community Service,"Catholic Campus Ministry (CCM) is a group who seek to grow in faith in love through fellowship, thoughtful discussion, and prayer. Come join us every Wednesday in the Garden Room for dinner and discussion at 7:00 PM! CCM also hosts Mass every Sunday in Daniel Chapel at 8 PM. Come to a meeting to learn more; we'll be waiting for you!","Catholic Campus Ministry (CCM) is a group of people who seek to grow in faith and love through fellowship, thoughtful discussion, and prayer. We host Wednesday program, Mass, and service opportunities."
Center for Inclusive Communities,CIC,cic,Active,Public,,"The Center for Inclusive Communities (CIC) fosters belonging for historically underrepresented students and stimulates all students to thoughtfully reflect on diversity and inclusion in the liberal arts tradition of engaged citizenship. Staff collaborate with a variety of offices on campus to design a comprehensive, university-wide approach to diversity; facilitate equity, access, social justice and inclusion; and, empower students to build a diverse and inclusive campus community.",The Center for Inclusive Communities (CIC) fosters belonging for historically underrepresented students and stimulates all students to thoughtfully reflect on diversity and inclusion in the liberal arts tradition of engaged citizenship.
Chi Omega,Chi O,chi-omega,Active,Public,Fraternities and Sororities;Programmatic;Special Interest,"Founded in 1895 at the University of Arkansas, Chi Omega is the largest women's fraternal organization in the world. It is a sisterhood built on the core purposes of friendship, personal integrity, service to others, academic excellence and intellectual pursuits, community and campus involvement, and personal and career development. Our national philanthropy is Make-A-Wish, and our chapter is lucky enough to grant one child's wish each year! Locally, we also work with an after school program that serves underprivileged children in elementary and middle school. Our chapter members well balanced women who are involved on our campus and in our community, dedicating their time and passion to much more than Chi Omega.","Founded in 1895 at the University of Arkansas, Chi Omega is the largest women's fraternal organization in the world. It is a sisterhood built on the core purposes of friendship, personal integrity, service to others, academic excellence and intellectual."
Christo et Doctrinae ,C&D,christoetdoctrinae,Active,Public,Media,"Christo et Doctrinae is a student journal of Christian thought at Furman University. We strive to promote intentional, spiritually grounded, and intellectually rigorous discussion of matters of faith, theology, and the Christian life. Our content can be found in physical editions on campus, or at https://christoetdoctrinae.com/.","Christo et Doctrinae is a journal of Christian thought at Furman University, striving to promote intentional, intellectually rigorous discussion of faith, theology, and the Christian life. Our content can be found at https://christoetdoctrinae.com/."
Class of 2023,,classof2023,Active,Public,Student Government and Class Pages,,This is the syncDIN page for the Class of 2023 and their SGA representatives.
Class of 2024,,2024,Active,Public,Student Government and Class Pages,,Class of 2024
Class of 2025,,classof2025,Active,Public,,,A portal for members of the Class of 2025.
Class of 2026,,2026,Active,Public,,,Members of the Class of 2026
Class of 2027,,classof2027,Active,Public,,,Class of 2027
Class of 2028,,classof2028,Active,Public,,,Class of 2028
Class of 2029,Class of 2029,2029,Active,Public,,Members of the class of 2029,Members of the class of 2029
Club Sports Council,Club Sports,furman-university-club-sports,Active,Public,Club Sports,,Club Sports Council is a coordinating body of representatives from each club sport organization. The council works closely with and is advised by Campus Recreation and Wellness staff.
Club Ultimate Frisbee,Ultimate,club-ultimate-frisbee,Active,Public,Atheltics;Club Sports,"We play Ultimate Frisbee at co-ed inter-collegiate tournaments several times per semester. Practices are Mondays and Thursdays from 5:00 PM-6:30 PM on the Upper NV fields. No prior experience is necessary, we're out here to have fun, stay in shape, and get better at disc sports!","We play Ultimate Frisbee at co-ed inter-collegiate tournaments several times per semester. Practices are Mondays and Thursdays, 5:00-6:30 PM."
Collaborative Neuroscience Society,CNS,collaborative-neuroscience-society,Active,Public,Academic,"The purpose of this club is to raise awareness and introduce neuroscience based topics to the Furman community, as well as provide a support system for neuroscience majors and those who have a general interest in the field! We will hold study sessions, have volunteer opportunities, set up peer mentors, and have monthly meetings to discuss all things Neuroscience!","The purpose of this club is to raise awareness and introduce neuroscience based topics to the Furman community, as well as provide a support system for neuroscience majors and those who have a general interest in the field!"
Communication Student Advisory Board ,Com Studies Advisory Board,comstudiesadvisoryboard,Active,Public,Academic;University Department/Office,"Communication Studies is becoming one of the most dynamic and innovative departments on campus. The purpose of the board is to receive input and insights that will help us continue this path. The committee will take students' opinions and ideas about the department's curriculum, classes, department website, social media, digital sign, and special programs to enhance each communication major's experience.",The purpose of the board is to receive input and insights that will help us continue this path. The board takes students' opinions and ideas about the department to enhance each communication major's experience.
Cooperative Student Fellowship,CSF,cooperative-student-fellowship,Active,Public,Religious Council,"CSF is sponsored by The Cooperative Baptist Fellowship of South Carolina. The Cooperative Baptist Fellowship (CBF) consists of churches, institutions, and individuals who share a passion for the Great Commission of Jesus Christ and a commitment to the historic Baptist principles: Soul Freedom, Bible Freedom, Church Freedom, Religious Freedom. CSF is an ecumenical organization composed of students of varying denominational backgrounds. We are committed to an open and thoughtful discussion about faith, building community, and living out Christ’s example through social justice ministries.","CSF is sponsored by The Cooperative Baptist Fellowship of South Carolina. The Cooperative Baptist Fellowship (CBF) consists of churches, institutions, and individuals who share a passion for the Great Commission of Jesus Christ and a commitment to the ..."
Cothran Center for Vocational Reflection,Cothran Center,cothran-center-for-vocational-reflection,Active,Public,Academic;Programmatic;Special Interest,"The Cothran Center facilitates exploration of purpose and calling among members of the Furman community. We provide resources, space, and experiences such as travel, meals, and speakers, through which discernment and open dialogue across difference can lead to a clearer sense of what constitutes a meaningful life.","The Cothran Center facilitates exploration of purpose and calling among members of the Furman community. We provide resources, space, and experiences to explore meaning and connection."
Creative Conversations,,creativeconversations,Active,Public,Fine Arts;Special Interest,"Creative Conversations is an organization created to connect students who love art history or have a desire to expand their knowledge of art history in a non-traditional classroom setting. We want to create a creative, collaborative, engaging, and informative space for students who love art.","Creative Conversations was created to connect students who love art history or have a desire to expand their knowledge of art history outside a traditional classroom. We want to be a creative, collaborative, engaging, and informative safe space for all."
Cultural Life Program,CLP,clp,Active,Public,,,"The intent of the Cultural Life Program (CLP) is to encourage students to attend a variety of high quality events that provide enriching, challenging cultural experiences."
Delight Ministries,Delight,delight-ministries,Active,Public,Religious Council,"We are the Furman chapter of Delight Ministries, a college women's community that grows together, serves together, learns together and does life together while chasing the heart of God. Delight provides college women with the tools and resources to launch, grow, and sustain Christ-centered communities on college campuses and creates curriculum that digs into scripture and tells the real stories of college women just like you. Email a leader with any questions or to be added to the GroupMe, and follow us on instagram for updates (@delightatfurman)!","We are a college women's community that grows together, serves together, learns together and does life together while chasing the heart of God."
Delta Delta Delta,Tri Delta,delta-delta-delta,Active,Public,Fraternities and Sororities;Community Service;Special Interest,"Delta Delta Delta was founded in 1888 at Boston University. Today there are 180 chapters in the United States and Canada with over 238,000 initiated members. The Gamma Xi chapter at Furman University was founded in 1994. The purpose of Delta Delta Delta is to establish a perpetual bond of friendship among its members, to develop a stronger and more womanly character, to broaden the moral and intellectual life, and to assist its members in every possible way.","Delta Delta Delta was founded in 1888 at Boston University. Today there are 180 chapters in the United States and Canada with over 238,000 initiated members. The Gamma Xi chapter at Furman University was founded in 1994."
Delta Gamma,DG,delta-gamma-zeta-upsilon-chapter,Active,Public,Fraternities and Sororities,"Delta Gamma was founded by Anna Boyd Ellington, Eva Webb Dodd, and Mary Comfort Leonard in 1873 at the Lewis School for Girls in Oxford, Mississippi. The Founders sought to maintain high ideals of friendship among women, promote educational and cultural interests, and to create a true sense of social responsibility and service in order to exemplify college women at their best. Delta Gammas membership has grown to more than 250,000 women worldwide with 150 collegiate chapters and more than 200 alumnae groups across the United States and Canada.","Delta Gamma was founded by Anna Boyd Ellington, Eva Webb Dodd, and Mary Comfort Leonard in 1873 at the Lewis School for Girls in Oxford, Mississippi."
Dins Vote,,dinsvote,Active,Public,Academic;Diversity and Inclusion;Political,"The mission of Dins Vote is to gather Furman students together in order to provide all relevant information, facilitate meaningful discussion, and consider all opportunities that would allow their fellow peers to be informed voters in American society. This includes providing students resources on voter registration, absentee ballots, deadlines, candidate information, and through group events such as voter registration events, voter information events, CLPs with experts, posting QR codes around campus, and more.","The mission of Dins Vote is to gather Furman students together in order to provide all relevant information, facilitate meaningful discussion, and consider all opportunities that would allow their fellow peers to be informed voters in American society."
Dintonation,Dintones,dintonation,Active,Public,Fine Arts;Special Interest,"Dintonation is Furman's women's a cappella group established in 2014! We are a group of students who are passionate about singing and building strong friendships with one another. Make sure to check back at the beginning of the semester for info about auditions! Also, please check us out on Youtube (Dintonation) and Instagram (@dintonation)!","We are Furman's women's a cappella group, established in 2014! We are a fun, casual singing group that welcomes singers of all levels to sing cover songs in the treble clef."
"Disability Rights, Education, Activism, and Mentoring",DREAM,dream,Active,Public,Diversity and Inclusion;Student Diversity Council Organizations;Community Service;Special Interest,"DREAM welcomes anyone who is interested in supporting those with disabilities and learning more about disabilities and illnesses on and off campus. You do not have to have an illness or disability yourself, but we ask that everyone is respectful of those who do. We seek to promote awareness, educate the student body, and participate in volunteering activities on and off campus. We support a range of conditions including intellectuals disabilities, mental illnesses, physical disabilities, and chronic illnesses and diseases. We are always looking for ways to support those with disabilities both on and off campus","DREAM welcomes anyone who is interested in supporting those with disabilities and learning more about disabilities and illnesses on and off campus. You do not have to have an illness or disability yourself, but we ask that everyone is respectful."
Eco Reps,,ecoreps,Active,Public,,Eco Reps is a national movement of students for sustainability. The program aims to foster students and groups that support sustainable initiatives and lifestyles on their campus. The Eco Reps Program at Furman trains student leaders to promote sustainable practices on campus and encourage sustainably responsible behaviors among peers. Reps work within the residence halls across campus to model sustainable behaviors and plan and deliver sustainability educational programs intended to inspire peers to live more sustainable lives. We strive to create a culture of sustainability!,Eco Reps is a national movement of students for sustainability. The program aims to foster students and groups that support sustainable initiatives and lifestyles on their campus.
Environmental Action Group (Furman Unviersity),EAG,environmental-action-group,Active,Public,Academic;Political;Programmatic;Community Service;Special Interest,"Join EAG and be part of a movement to create a more sustainable future! We're all about getting students involved, whether it’s through volunteering, collaborating with other clubs, or pushing for climate-smart policies. If you're passionate about the environment and want to make a real impact, we’d love to have you on board!","EAG is the campus go-to group for environmental and sustainable movements. We aim to educate the campus on how to create a more sustainable society, while doing service projects and activities that support this philosophy."
Exploration of Vocation and Ministry,EVM,exploration-of-vocation-and-ministry,Active,Public,Diversity and Inclusion;Religious Council,"Students come from any faith background to engage in spiritual community that challenges and inspires them. Alongside a community of peers and university chaplains, EVM offers students the opportunity to examine their beliefs and values, explore their sense of calling, and experience internships in fields of service, justice, and ministry. All students participate in weekly gatherings, participate in internships, and receive a stipend of $1200 per year for their work. Interested students should apply at https://www.furman.edu/spiritual-life/exploration-vocation-ministry/ or contact the Office of Spiritual Life with any questions!","Students come from any faith background to engage in spiritual community that challenges and inspires them. Alongside a community of peers and university chaplains, EVM offers students the opportunity to examine their beliefs and values, explore their..."
Fellowship of Christian Athletes,FCA,fellowship-of-christian-athletes,Active,Public,Religious Council,We are a Christian ministry serving athletes and non-athletes on Furman's campus. The mission of Furman's Fellowship of Christian Athletes is to see the world transformed by Jesus Christ through the influence of coaches and athletes. We meet Tuesday nights at 8:28 pm in Burgiss Theater.,"The mission of Furman's Fellowship of Christian Athletes is to lead every coach, athlete, and student into a growing relationship with Jesus Christ and His church."
First Generation Student Alliance,FGSA,-,Active,Public,Academic;Admissions;Diversity and Inclusion;Student Diversity Council Organizations;Community Service,"The purpose of FGSA shall be to help other first-generation students to find community, offer mentorship to incoming classes, offer learning opportunities about Furman resources/opportunities, assist when able with University first-generation student initiatives, and other opportunities as presented.","FGSA shall be to help first-generation students to find community, offer mentorship to incoming classes, and learning opportunities about Furman resources/opportunities, as well as assist with informing first-gens of opportunities."
Fraternity and Sorority Life,FU Greeks,fraternity-and-sorority-life,Active,Public,University Department/Office;Fraternities and Sororities;Programmatic;Community Service,Providing powerful educational leadership opportunities by way of shared principles to fraternity men & sorority women at Furman University.,Providing powerful educational leadership opportunities by way of shared principles to fraternity men & sorority women at Furman University.
Furman Academic Competition Team ,FACT,furmanfact,Active,Public,Academic;Special Interest,,This is an organization intended to provide students with access to a multitude of subjects and topics of information presented in fun team style quiz bowl questions. We also compete several times in year and expose students to new people and places.
Furman Archery Club,FAC,furmanarcheryclub,Active,Public,Atheltics;Club Sports;Diversity and Inclusion,"Ready to test your aim and have some fun? The Furman Archery Club is all about focus, discipline, and the Paladin spirit—strength, skill, and teamwork. As Greenville’s first college archery club, we welcome all skill levels, whether you’re a total beginner or a seasoned archer. Come shoot some arrows, de-stress, and be part of something new at Furman!","Furman Archery Club brings focus, discipline, and the Paladin spirit to campus. As Greenville’s first college archery club, we welcome all skill levels to shoot, de-stress, and build community. Whether you're a beginner or a pro, come take your best shot!"
Furman Athletics,,furmanathletics,Active,Public,,The official page for Furman Paladin Athletics! #FUAllTheTime,The official SyncDin page for Furman Paladin Athletics
Furman Badminton Club,,badmintonclub,Active,Public,Atheltics;Club Sports,,"For anyone looking to just stay active and have some fun, just let us know! No previous experience needed, just a bunch of college students looking for a good time playing some badminton."
Furman Bands,Furman Bands/Paladin Regiment Marching Band,furman-university-band,Active,Public,Diversity and Inclusion;Fine Arts;Programmatic;Special Interest,"The Furman Bands are among the oldest college bands in the South, having been initiated in 1920. The band program consists of five major ensembles: the Symphonic Band, the Wind Ensemble, the Basketball Band, the Paladin Regiment and the Jazz Ensemble. Over 60 percent of the band members major in disciplines other than music. Supplementing these groups are various smaller ensembles in percussion, woodwind and brass. Auditions for the Symphonic Band are held at the beginning of every semester, while auditions for the jazz ensemble are held are held each fall. A grade point average of 2.0 is required for most ensembles. Students from across campus can make music as members of the Furman Bands no matter their chosen area of academic study. We have room for YOU!","Open to students across campus and regardless of major, the band program consists of five major ensembles; the Symphonic Band, the Wind Ensemble, the Basketball Band, the Paladin Regiment and the Jazz Ensemble. We are the musical ambassadors for Furman!"
Furman Baptist Collegiate Ministry,BCM,furman-baptist-collegiate-ministry,Active,Public,Diversity and Inclusion;Religious Council;Community Service,"Welcome to BCM at Furman! We are a Jesus loving group of Furman students who desire to do life together through community. BCM meets on Monday nights at 7PM in the Garden Room of the chapel and during that time we share a meal together, laugh :), engage the Scriptures in a time of reflection and discussion, and laugh some more. As a Christian organization, we exist to be a place where students from all backgrounds can come and find community, love, and learn more about what it actually means to claim Christ. Our community is diverse in its theological affiliations and we welcome all Furman students to experience the Baptist distinctive of Christian community at BCM.","We, as the Baptist Collegiate Ministry at Furman University, exist to provide students with a Christian community distinctive in its Baptist ideals of unity, fellowship through a shared meal, Scripture-based discussions, and exhibiting love towards all."
Furman Chess Club,Chess Club,fuchess,Active,Public,Academic;Special Interest,"We learn and play chess in a casual, friendly environment. Meetings are once a week and open to everyone, no prior experience necessary! We also travel to tournaments locally and nationally and host on-campus events.","We learn and play chess in a casual, friendly environment. Meetings are once a week and open to everyone, no prior experience necessary! We also travel to tournaments locally and nationally and host on-campus events."
Furman Clarinet Society,,furmanclarinetsociety,Active,Public,Fine Arts;Special Interest,,"The Furman Clarinet Society is a place for musicians, either interested in or active in playing the clarinet, where they can meet as a group to learn about the instrument, play as a group, or play for each other."
Furman College Democrats,FUCollegeDems,furman-college-democrats,Active,Public,Diversity and Inclusion;Political,"As affiliates of College Democrats of America, the Furman University College Democrats is an organization seeking to promote political discourse on Furman's campus through various events. As an organization, we volunteer throughout the community, campaign for Democrats on local, statewide, and national tickets, and work to bring speakers on various topics to campus.","As affiliates of College Democrats of America, the Furman University College Democrats is an organization seeking to promote political discourse on Furman's campus through various events. As an organization, we volunteer throughout the community, campa..."
Furman Conservative Society,FCS,fcs,Active,Public,Academic;Political,"Furman Conservative Society works to build a strong community, create vibrant discussion, and challenge and develop ideas, all in an effort to promote conservative values.","Furman Conservative Society works to build a strong community, create vibrant discussion, and challenge and develop ideas, all in an effort to promote conservative values."
Furman Creative Collaborative,FCC,the-furman-creative-collaborative,Active,Public,Media;Programmatic,"Creativity should not be pent up, held back, or guarded for the few students who happen to find it where it hides. Creative outlets should not be so strictly defined as to associate them with the singular concept of “art” or “media”—these outlets are increasingly the pseudonym for the very idea of creative expression itself. Furman students, like all people, are constantly inundated with new ideas; they deal with them on a daily basis. Their own institution touts engaged learning but for lack of proper implementation has yet to engage creativity specifically through an organization devoted to its praise. Understanding the value of each and every student’s intrinsic creative spirit, we the artistic, the passionate, the imaginative, the visionary, and the innovative college students do hereby associate ourselves as the Furman Creative Collaborative. Our GroupMe: https://groupme.com/join_group/105587067/160V4cbf","Creativity should not be pent up, held back, or guarded for the few students who happen to find it where it hides. Creative outlets should not be so strictly defined as to associate them with the singular concept of “art” or “media”—these outlets are i..."
Furman Dance Team,FDT,furmandanceteam,Active,Public,Atheltics;Fine Arts,"The Furman Dance Team is an organization that exists to foster and improve the creative art of dance in a team-building environment through regular training, rehearsals, and performances. We are an extremely talented group of dancers who value commitment and passion in order to continue fostering our love for dance in college.","The Furman Dance Team is an organization that exists to foster and improve the creative art of dance in a team-building environment through regular training, rehearsals, and performances. We are an extremely talented group of dancers who value commit.."
Furman Drone Association,FDA,fda,Active,Public,Academic;Programmatic,"The purpose of FDA shall be to help Furman students of all skill levels learn and apply engineering, coding, and drone piloted skills in a guided hands-on environment. We will focus on skills such as working with 3d printers, learning to solder, coding drones in microcontrollers using C++ and python.",We aim to teach everyone valuable skills through drone-making and piloting workshops.
Furman Dungeons and Dragons Club,FUD&D,fudnd,Active,Public,Media;Diversity and Inclusion;Fine Arts;Special Interest,"Furman Dungeons and Dragons Club is a club dedicated to tabletop roleplaying games such as Dungeons & Dragons, Call of Cthulhu, Pathfinder and many more. We meet weekly to play one-shots and campaigns along with other fun events that take the roleplay experience outside the table. We want to create a space where people can feel comfortable sharing their own stories and experiences with tabletop games, and make connections with others in the tabletop RPG community.","Hello! Our club is dedicated to tabletop roleplaying games. We not only discuss basic game-play, roleplay, worldbuilding, and more, but also run sessions each week. This is a space where people can share their stories, connect with others, and have fun."
Furman Economics Society,FES,furman-economics-society,Active,Public,Academic;University Department/Office;Programmatic,"The Mission of the Furman Economics Society is to build a stronger community within the Economics department, to strengthen the bonds between the faculty and staff, to expand the value of the Economics major beyond the classroom, and to enhance the relationship between the Economics department and the rest of the Furman Community.","The Mission of the Furman Economics Society is to build a stronger community within the Economics department, to expand the value of the Economics major beyond the classroom, and to strengthen the bonds between the department and the Furman Community."
Furman Faculty,Furman Faculty,furman-faculty,Active,Public,,,
